title,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,score_sum,time_weighted_score
0,,,,,,,,,,,,,,,,,,,,18.022,39.171,60.787,71.986,85.391,91.215,334.356,46.199
1,,,,,,,,,,,,,,,,8.08,11.63,15.437,21.707,31.003,51.318,75.43,93.96,115.525,125.046,492.294,43.287
2,,,,,,,,,,,,,,,,,,,,15.873,33.954,52.499,62.095,73.551,78.532,288.634,39.882
3,,,,,,,,,,,,,,,,,,,,16.69,29.966,50.369,60.749,69.021,72.884,273.145,37.742
4,,,,,,,,,,,,,,,8.717,17.215,22.927,27.148,34.299,43.917,53.289,65.881,74.342,82.25,85.549,448.995,36.19
5,,,,,,,,,,,,,,,7.953,11.363,14.441,17.453,22.308,29.384,44.327,61.817,75.164,90.482,97.348,417.879,33.681
6,,,,,,,,,,,,,,,,,,,,16.597,27.121,39.859,50.423,63.869,69.118,243.657,33.667
7,,,,,,,,,,,,,,,8.441,16.369,21.547,25.392,31.803,40.435,48.842,60.131,67.728,74.82,77.783,411.758,33.188
8,,,,,,,,,,,,,,,,,,,,16.496,27.693,43.811,50.928,56.197,58.517,230.543,31.855
9,,,,,,,,,,,,,,,,,9.423,13.267,18.744,25.381,34.719,46.818,54.615,62.282,65.356,294.024,28.438
10,,,,,,,,,,,,,,,,,,,,15.09,24.73,38.585,44.73,49.351,51.369,203.382,28.102
11,,,,,,,,,,,,,,,,,,,,,21.107,30.538,37.998,46.957,50.737,171.977,27.723
12,,,,,,,,,,,,,,,,,,,,15.035,23.623,33.581,41.245,49.96,53.99,197.972,27.355
13,,,,,,,,,,,,,,,,,,,,,21.041,29.873,36.637,44.123,47.731,164.549,26.526
14,,,,,,,,,,,,,,4.898,9.232,14.03,19.247,23.055,27.662,34.586,43.301,51.735,56.908,62.622,64.289,356.062,26.491
15,,,,,,,,,,,,,4.257,9.029,15.539,20.278,23.611,26.132,29.755,34.075,40.042,48.413,53.307,58.634,60.74,361.179,24.953
16,,,,,,,,,,,,,,,,,,,,,,,28.213,37.655,43.867,103.183,24.95
17,,,,,,,,,,,,,,,,,,,,,,,27.675,36.909,42.752,100.92,24.403
18,,,,,,,,,,,,,,5.55,10.659,16.212,19.623,22.704,27.076,31.473,36.958,43.651,48.632,53.739,55.747,319.543,23.775
19,,,,,,,,,,,,,4.525,8.885,15.169,19.558,22.551,24.83,28.141,32.095,37.574,45.27,49.783,54.648,56.588,340.029,23.492
20,,,,,,,,,,,,,,,,,,,,,,23.49,29.239,36.465,39.32,119.159,23.05
21,,,,,,,,,,,,,4.692,8.707,14.397,18.449,21.415,23.617,26.796,30.79,36.434,44.553,49.298,54.271,56.213,332.037,22.939
22,,,,,,,,,,,,,,,,,,,,15.003,20.907,28.787,34.016,39.033,41.219,162.335,22.43
23,,,,,,,,,,,,,,,,,,,,,19.138,26.97,31.242,35.039,36.498,136.153,21.948
24,,,,,,,,,,,,,,,,,,,,,,23.483,28.03,33.282,35.65,111.531,21.575
25,,,,,,,,,,,,,,,,,,,,,,,27.233,32.637,35.188,89.207,21.571
26,,,,,,,,,,,,,,,,,,,,,,23.875,28.394,32.642,34.663,110.649,21.404
27,,,,,,,,,,,,,,,,,,,,,18.874,26.099,29.749,33.551,35.155,131.125,21.138
28,,,,,,,,,,,,,2.758,5.997,11.671,15.391,18.233,20.525,24.01,28.323,33.954,41.971,46.81,52.053,54.354,305.451,21.103
29,,,,,,,,,,,,,6.152,15.763,23.823,25.612,28.119,29.547,31.802,33.489,34.327,35.01,35.102,35.838,35.869,305.16,21.083
30,,,,,,,,,,,,,,,,,,,,,,23.255,27.175,31.66,33.482,106.942,20.687
31,,,,,,,,,,,,,,,,,,,,,,23.449,27.654,30.857,32.519,105.864,20.479
32,,,,,,,,,,,,,,,,,,,,,,,,31.213,35.258,63.303,20.409
33,,,,,,,,,,,2.2,5.632,9.137,13.417,18.135,20.171,22.914,25.773,29.153,33.593,38.093,42.474,44.43,48.035,48.94,336.002,20.312
34,,,,,,,,,,,,,,,,,,,12.377,15.237,20.396,26.696,31.996,37.594,39.706,165.429,20.001
35,,,,,,,,,,,,,,,,,,,,,,,,31.035,32.79,60.749,19.586
36,,,,,,,,,,,,,,,,,,,,,,,,30.389,32.316,59.686,19.243
37,,,,,,,,,,,,1.613,4.772,10.101,16.921,18.821,21.98,24.631,27.441,30.589,33.278,36.129,37.272,39.196,39.582,286.479,18.472
38,,,,,,,,,,,,,,6.237,10.745,13.962,15.844,17.39,19.616,22.253,26.375,31.756,35.028,38.354,39.587,236.422,17.59
39,,,,,,,,,,,,,,4.728,8.853,11.438,13.652,15.238,17.801,21.208,25.777,32.6,36.261,40.246,41.884,232.068,17.266
40,,,,,,,,,,,,,,5.372,8.614,11.058,12.61,13.961,16.22,19.2,24.81,31.649,36.777,42.753,45.078,231.667,17.236
41,,,,,,,,,,,,,,5.107,8.199,10.564,12.154,13.558,16.112,19.286,24.789,31.307,36.319,41.801,43.917,227.439,16.922
42,,,,,,,,,,,,,,,,,9.369,10.726,12.886,15.831,20.071,26.321,29.613,33.039,34.489,169.408,16.385
43,,,,,,,,,,,,,,,,8.081,9.244,,,,18.126,22.979,26.653,30.817,32.587,132.557,16.026
44,,,,,,,,,,,,,,4.543,8.533,11.14,13.123,14.626,16.891,19.774,23.54,28.878,32.027,35.44,36.862,210.417,15.655
45,,,,,,,,,,,,,,,7.171,9.399,11.223,12.62,14.754,17.522,21.332,26.924,30.055,33.365,34.76,189.363,15.263
46,,,,,,,,,,,,,,,,,,,,,,,,,32.068,31.016,15.0
47,,,,,,,,,,,,,,,,,,,,,,,,,31.919,30.872,14.93
48,,,,,,,,,,,,,,6.802,12.81,14.023,16.098,18.043,19.708,22.224,24.688,28.225,29.496,31.149,,184.462,14.868
49,,,,,,,,,,,,,,6.802,12.81,14.023,16.098,18.043,19.708,22.224,24.688,28.225,29.496,31.149,,184.462,14.868
50,,,,,,,,,,,,,,,,,,,,15.4,19.63,23.854,26.02,,,73.646,14.246
51,,,,,,,,,,,,,,4.38,7.667,9.943,11.688,13.037,15.035,17.614,21.139,26.229,29.187,32.409,33.746,190.563,14.178
52,,,,,,,,,,,0.663,1.805,2.83,,,,,,,,18.655,23.969,27.86,31.968,33.568,127.72,13.726
53,,,,,,,,,,,,,2.986,9.942,16.755,18.122,20.173,21.28,23.014,24.228,24.806,25.213,,,,145.566,12.799
54,,,,,,,,,,,,,,,,,,,,,,,25.974,,,23.503,11.366
55,,,,,,,,,,,,,,,6.822,8.764,10.639,11.754,13.46,15.873,19.124,24.158,26.631,,,112.975,10.927
56,,,,,,,,,,,,,,5.893,11.032,12.06,13.828,15.48,16.893,19.033,21.125,24.132,,,,110.3,10.668
57,,,,,,,,,,,,,,5.186,8.664,10.218,12.791,14.777,16.797,19.354,22.069,24.788,,,,107.118,10.361
58,,,,,,,,,,,,2.536,5.122,7.974,11.974,13.339,15.626,17.39,19.031,20.914,22.915,24.75,,,,126.259,10.177
59,,,,,,,,,,,,,,,,,,11.389,14.454,17.626,19.775,,,,,51.34,9.931
60,,,,,,,,,,,,,,,,,,,12.27,14.897,17.998,,,,,37.148,8.982
61,,,,,,,,,,,,,,,6.69,8.751,10.269,11.452,13.168,15.315,18.327,,,,,65.766,7.951
62,,,,,,,,,,,,,,5.149,8.876,9.922,11.653,13.114,14.624,16.239,,,,,,60.265,7.286
63,,,,,,,,,,,,,2.69,5.064,8.072,9.735,11.174,12.212,13.86,16.019,18.754,,,,,75.305,7.284
64,,,,,,,,,,,,,,4.813,8.403,9.411,11.037,12.592,14.182,15.926,,,,,,57.884,6.998
65,,,,,,,,,,,,,,,6.786,8.003,10.022,11.496,13.186,15.11,,,,,,49.481,6.837
66,,,,,,,,,,,,,,4.531,7.61,8.912,10.843,12.38,13.777,15.664,,,,,,55.948,6.764
67,,,,,,,,,,,,,,4.531,7.61,8.912,10.843,12.38,13.777,15.664,,,,,,55.948,6.764
68,,,,,,,,,,,,,,4.936,7.766,9.376,10.746,11.721,13.261,15.283,,,,,,55.363,6.693
69,,,,,,,,,,,0.641,2.225,3.629,5.232,7.987,8.988,10.442,11.804,13.619,15.89,18.103,,,,,75.515,6.087
70,,,,,,,,,,,,,,,,,9.317,10.767,12.27,,,,,,,24.865,6.012
71,,,,,,,,,,,,,,,,,9.392,10.516,12.129,,,,,,,24.617,5.953
72,,,,,,,,,,,,,,4.721,7.529,9.548,10.763,11.694,13.015,,,,,,,42.46,5.867
73,,,,,,,,,,,,,,,,7.933,9.392,10.516,12.129,,,,,,,30.301,5.862
74,,,,,,,,,,,,,,,7.085,8.193,9.704,10.98,12.195,,,,,,,36.037,5.809
75,,,,,,,,,,,,,,,,,,10.826,11.991,,,,,,,17.787,5.735
76,,,,,,,,,,,,1.871,3.769,5.903,8.449,9.324,10.868,12.184,13.399,,,,,,,48.104,5.17
77,,,,,,,,,,,,,,4.225,7.976,8.698,9.704,10.75,,,,,,,,30.015,4.839
78,,,,,,,,,,,,,,4.324,6.934,8.39,9.648,10.529,,,,,,,,28.927,4.663
79,,,,,,,,,,,,,,,,,,,12.097,,,,,,,9.579,4.633
80,,,,,,,,,,,,,,5.204,7.358,8.802,9.723,,,,,,,,,22.098,4.275
81,,,,,,,,,,,1.242,3.237,4.516,5.972,7.425,8.803,9.821,10.557,,,,,,,,36.529,3.926
82,,,,,,,,,,,0.896,2.012,3.867,5.468,7.661,8.314,9.615,10.614,,,,,,,,34.496,3.707
83,,,,,,,,,,,,,4.13,6.185,7.845,8.375,,,,,,,,,,18.261,3.533
84,,,,,,,,,,,,,3.307,6.459,7.865,8.013,,,,,,,,,,17.666,3.417
85,,,,,,,,,,,,,3.307,6.459,7.865,8.013,,,,,,,,,,17.666,3.417
86,,,,,,,,,,,,1.509,,,,,,,11.982,,,,,,,10.434,3.364
87,,,,,,,,,,,0.824,2.403,3.678,5.198,7.256,7.949,,,,,,,,,,18.599,2.57
88,,,,,,,,,,,1.743,3.527,4.627,5.969,7.344,,,,,,,,,,,15.359,2.476
89,,,,,,,,,,,1.43,2.567,4.029,5.549,7.478,,,,,,,,,,,13.992,2.256
90,,,,,,,,,,,0.732,2.334,3.655,5.092,6.946,,,,,,,,,,,12.504,2.016
91,,,,,,,,,,,,,3.596,5.355,,,,,,,,,,,,5.921,1.909
92,,,,,,,,,,,1.319,3.054,4.427,5.582,,,,,,,,,,,,9.327,1.804
93,,,,,,,,,,,,2.189,3.816,4.407,,,,,,,,,,,,6.801,1.644
94,,,,,,,,,,,,,2.785,4.601,,,,,,,,,,,,4.89,1.576
95,,,,,,,,,,,,1.78,3.194,4.257,,,,,,,,,,,,6.04,1.461
96,,,,,,,,,,,,1.496,3.325,4.261,,,,,,,,,,,,5.95,1.439
97,,,,,,,,,,,,1.611,2.754,4.603,,,,,,,,,,,,5.881,1.422
98,,,,,,,,,,,0.701,1.9,3.226,4.317,,,,,,,,,,,,6.601,1.277
99,,,,,,,,,,,,2.435,3.607,,,,,,,,,,,,,3.865,1.246
