"community","avg_outer_edge_weight"
"4372","1"
"3394","1"
"7790","1"
"1058","1"
"1641","1"
"5","3.038094030486093"
"3791","1"
"1243","1"
"166","1"
"905","1"
"4969","1"
"12981","1"
"15394","1"
"3381","1"
"13441","1"
"1108","1"
"7424","1"
"13","14.794970054864514"
"2636","3.3333333333333335"
"1","10.866651278761738"
"9125","1"
"1780","1"
"2393","1"
"16111","2"
"5231","1"
"3921","1"
"30720","3"
"1956","1"
"7088","1"
"3","14.751067428780825"
"7037","1"
"2210","1"
"6","1"
"2814","1"
"275","1"
"2276","1"
